imageA,imageB,similarity
data\person483.jpg,data\person495.jpg,0.94140625
data\person495.jpg,data\person507.jpg,0.98046875
data\person530.jpg,data\person542.jpg,0.91796875
data\person542.jpg,data\person552.jpg,0.96875
data\person552.jpg,data\person563.jpg,0.94140625
data\person572.jpg,data\person582.jpg,0.94140625
data\person582.jpg,data\person592.jpg,0.94140625
data\person592.jpg,data\person603.jpg,0.96484375
data\person603.jpg,data\person612.jpg,0.96875
data\person612.jpg,data\person621.jpg,0.98828125
data\person621.jpg,data\person631.jpg,0.95703125
data\person631.jpg,data\person641.jpg,0.98046875
data\person60.jpg,data\person94.jpg,0.9375
data\person742.jpg,data\person777.jpg,0.84765625
data\person790.jpg,data\person819.jpg,0.9375
data\person869.jpg,data\person932.jpg,0.89453125
data\bus3559.jpg,data\bus3586.jpg,0.87890625
data\car3027.jpg,data\car3132.jpg,0.83984375
data\car3423.jpg,data\car3450.jpg,0.87890625
data\person1005.jpg,data\person1016.jpg,0.921875
data\person1016.jpg,data\person995.jpg,0.91796875
data\person1027.jpg,data\person960.jpg,0.9140625
data\person1038.jpg,data\person1050.jpg,0.9765625
data\person105.jpg,data\person117.jpg,0.9140625
data\person117.jpg,data\person130.jpg,0.9296875
data\person130.jpg,data\person196.jpg,0.85546875
data\person196.jpg,data\person233.jpg,0.94921875
data\person233.jpg,data\person341.jpg,0.9296875
data\person13.jpg,data\person18.jpg,0.88671875
data\person18.jpg,data\person60.jpg,0.87890625
data\person60.jpg,data\person71.jpg,0.96484375
data\person71.jpg,data\person8.jpg,0.83984375
data\person8.jpg,data\person94.jpg,0.8046875
data\person157.jpg,data\person170.jpg,0.921875
data\person170.jpg,data\person208.jpg,0.9453125
data\person183.jpg,data\person247.jpg,0.90625
data\person247.jpg,data\person274.jpg,0.95703125
data\person274.jpg,data\person286.jpg,0.97265625
data\person286.jpg,data\person300.jpg,0.9609375
data\person300.jpg,data\person315.jpg,0.9609375
data\person315.jpg,data\person354.jpg,0.94921875
data\person354.jpg,data\person367.jpg,0.96484375
data\person367.jpg,data\person393.jpg,0.90625
data\person221.jpg,data\person381.jpg,0.87109375
data\person33.jpg,data\person41.jpg,0.921875
data\person41.jpg,data\person5.jpg,0.875
data\person5.jpg,data\person50.jpg,0.8515625
data\person3822.jpg,data\person3823.jpg,0.9921875
data\person3823.jpg,data\person3824.jpg,0.98046875
data\person3824.jpg,data\person3825.jpg,0.98828125
